"","year","region","mean","median","sd","skew","kurtosis"
"1",2015,"north",20.4742624034484,20.3860729166667,2.65563709170388,-0.0441473731446385,-0.0900078267826556
"2",2016,"north",21.0211222268212,21.1319333333333,2.9633418628229,-0.48542575019352,0.956081886701256
"3",2017,"north",20.6444194523135,20.6203333333333,1.8945353391464,0.0303892866194124,0.0319840992646281
"4",2018,"north",21.2158603811561,21.2863371225461,2.03894476736549,-0.0897573752394099,0.0465048235472216
"5",2016,"north_central",21.692340874036,21.9064333333333,2.48644802086387,-0.528167806133126,1.37855105399439
"6",2017,"north_central",21.4570758723088,21.4703333333333,2.13435979178955,-0.0388135681838184,1.50388804083151
"7",2018,"north_central",21.688879821125,21.7408666666667,2.40122219083079,-0.0773684476994993,-0.169805899165643
"8",2015,"central",21.4274340949821,21.5781625,3.44151809357917,-0.748355012275505,0.803766909529614
"9",2016,"central",22.4643758752567,22.7756333333333,2.4540117328251,-0.8118259156133,1.72056507787789
"10",2017,"central",21.273423954062,21.5077333333333,2.30830749649018,-0.626162290775364,1.74706061676366
"11",2018,"central",20.723807807971,20.9018,2.18547715120455,-0.295300219921119,1.19036420641283
"12",2015,"south",21.1993158168693,21.87,3.66978999406538,-0.610017810477331,0.143641170859047
"13",2016,"south",20.1927938659555,20.5670666666667,3.13120725620766,-0.319701755631042,-0.350879992404836
"14",2017,"south",22.0522015925059,22.0382,2.41720195445578,-0.314939175334984,0.390990893475413
"15",2018,"south",20.7111974235105,20.7119,2.34012392932494,-0.0952188619524497,-0.340445363914004
